abstract,abstract_no,drug,condition
"plexiform neurofibromas (pns), which may be present at birth in up to half of children with type 1 neurofibromatosis (nf1), can cause serious loss of function, such as quadriparesis, and can undergo malignant transformation. surgery is the first line treatment although the invasive nature of these tumors often prevents complete resection. recent clinical trials have shown promising success for some drugs, notably selumetinib, an inhibitor of map kinase kinase (mek). we have developed threedimensional (3d) cell culture models of immortalized cells from nf1 pns and of control schwann cells (scs) that we believe mimic more closely the in vivo condition than conventional twodimensional (2d) cell culture. our goal is to facilitate preclinical identification of potential targeted therapeutics for these tumors. three drugs, selumetinib (a mek inhibitor), picropodophyllin (an igf1r inhibitor) and ldn193189 (a bmp2 inhibitor) were tested with doseresponse design in both 2d and 3d cultures for their abilities to block net cell growth. cell lines grown in 3d conditions showed varying degrees of resistance to the inhibitory actions of all three drugs. for example, control scs became resistant to growth inhibition by selumetinib in 3d culture. ldn193189 was the most effective drug in 3d cultures, with only slightly reduced potency compared to the 2d cultures. characterization of these models also demonstrated increased proteolysis of collagen iv in the matrix by the pn driver cells as compared to wildtype scs. the proteolytic capacity of the pn cells in the model may be a clinically significant property that can be used for testing the ability of drugs to inhibit their invasive phenotype.",1952,selumetinib,pNF
"plexiform neurofibromas are congenital peripheral nerve sheath tumors characteristic of neurofibromatosis type 1 (nf1)a frequent neurocutaneous disorder caused by mutations of the nf1 tumor suppressor gene. since plexiform neurofibromas are a major cause of the burden of disease and may also progress to malignancy, many efforts have been undertaken to find a cure for these tumors. however, neither surgery nor medication has so far produced a breakthrough therapeutic success. recently, a clinical phase i study reported significant shrinkage of plexiform neurofibromas following treatment with the mek inhibitor selumetinib. here, we report an 11yearold nf1 patient with a large plexiform neurofibroma of the neck that had led to a sharpangled kinking of the cervical spine and subsequent myelopathy. although surgical stabilization of the cervical vertebral column was urgently recommended, the vertebral column was inaccessible due to extensive tumor growth. in this situation, treatment with the mek inhibitor trametinib was initiated which resulted in a 22% reduction in tumor volume after 6 months of therapy and finally enabled surgery. these data show that mek inhibitors may not lead to complete disappearance of nf1associated plexiform neurofibromas but can be an essential step in a multimodal therapeutic approach for these tumors. the course of our patient suggests that mek inhibitors are likely to play a significant role in providing a cure for one of the most devastating manifestations of nf1.",2862,selumetinib,pNF
"background effective medical therapies are lacking for the treatment of neurofibromatosis type 1 related plexiform neurofibromas, which are characterized by elevated rasmitogenactivated protein kinase (mapk) signaling. methods we conducted a phase 1 trial of selumetinib (azd6244 or arry142886), an oral selective inhibitor of mapk kinase (mek) 1 and 2, in children who had neurofibromatosis type 1 and inoperable plexiform neurofibromas to determine the maximum tolerated dose and to evaluate plasma pharmacokinetics. selumetinib was administered twice daily at a dose of 20 to 30 mg per square meter of bodysurface area on a continuous dosing schedule (in 28day cycles). we also tested selumetinib using a mouse model of neurofibromatosis type 1related neurofibroma. response to treatment (i.e., an increase or decrease from baseline in the volume of plexiform neurofibromas) was monitored by using volumetric magnetic resonance imaging analysis to measure the change in size of the plexiform neurofibroma. results a total of 24 children (median age, 10.9 years; range, 3.0 to 18.5) with a median tumor volume of 1205 ml (range, 29 to 8744) received selumetinib. patients were able to receive selumetinib on a longterm basis; the median number of cycles was 30 (range, 6 to 56). the maximum tolerated dose was 25 mg per square meter (approximately 60% of the recommended adult dose). the most common toxic effects associated with selumetinib included acneiform rash, gastrointestinal effects, and asymptomatic creatine kinase elevation. the results of pharmacokinetic evaluations of selumetinib among the children in this trial were similar to those published for adults. treatment with selumetinib resulted in confirmed partial responses (tumor volume decreases from baseline of ≥20%) in 17 of the 24 children (71%) and decreases from baseline in neurofibroma volume in 12 of 18 mice (67%). disease progression (tumor volume increase from baseline of ≥20%) has not been observed to date. anecdotal evidence of decreases in tumorrelated pain, disfigurement, and functional impairment was observed. conclusions our earlyphase data suggested that children with neurofibromatosis type 1 and inoperable plexiform neurofibromas benefited from longterm doseadjusted treatment with selumetinib without having excess toxic effects.",4824,selumetinib,pNF
"background: neurofibromatosis type 1 (nf1) is one of the most common hereditary neurocutaneous disorders. the malignant peripheral nerve sheath tumor (mpnst), transformed from nf1 related plexiform neurofibroma, is a rapidly growing and highly invasive tumor. no effective chemotherapeutic agent is currently available. calebina is a derivative from turmeric curcuma longa. given the antiinflammatory and anticancer potentials of curcumin, whether calebina also had the tumoricidal effect upon mpnst cells is still elusive. purpose: to determine whether calebina has the potential for antimpnst effect. methods: the mtt and facs analysis of normal schwann (hsc) and mpnst cells have been employed to determine the tumoricidal effect of calebina. the expression of the signal pathway molecules was assessed by western blotting. the chip with quantitative pcr assay was performed to quantify the promoter dna binding to acetylated histone 3 (acetyl h3). the enzyme activities of histone acetyltransferase (hat) and deacetylase (hdac) have been evaluated by commercial kits. the measurements of tumor size of the xenograft mouse model were also performed. results: calebina inhibited the proliferation of mpnst and primary neurofibroma cells in a dosedependent manner. the flow cytometry analysis of the mpnst cells after treatment of 25 μm of calebina demonstrated an increase of population in the g0/g1 phase but decrease in g2/m phase. before treatment, the expression of axl, tyro3, and acetyl h3 was significantly higher in mpnst cells when compared to hsc. the expression of phosphorylatedakt, erk1/2, survivin, htert, and acetyl h3 proteins were reduced after treatment. the chip assay shows the promoter dna copies of survivin (bric5) and htert genes are significantly reduced posttreatment. the enzyme activity of hat was significantly reduced, but not that of hdac. two hat inhibitors, epigallocatechin3gallate (egcg) and anacardic acid (aa) have also demonstrated a significant inhibitory effect on mpnst cells. finally, the measurements of tumor size showed a significant reduction of the xenograft tumors after treatment of calebina. conclusion: both in vitro and in vivo studies showed calebina could inhibit the proliferation of mpnst with suppression of survivin and htert. the reduced expression of these two factors might be through the epigenetic histone modification resulting from the decreased activity of hat.",4154,curcumin,pNF
"neurofibromas are the hallmark lesions in neurofibromatosis 1 (nf1); these tumors are classified as cutaneous, subcutaneous and plexiform. in contrast to cutaneous and subcutaneous neurofibromas, plexiform neurofibromas can grow quickly and progress to malignancy. curcumin, a turmericderived polyphenol, has been shown to interact with several molecular targets implicated in carcinogenesis. here, we describe the impact of different dietary patterns, namely mediterranean diet (meddiet) compared to the western diet (wesdiet), both with or without curcumin, on nf1 patients’ health. after six months, patients adopting a traditional meddiet enriched with 1200 mg curcumin per day (meddietcurcumin) presented a significant reduction in the number and volume of cutaneous neurofibromas; these results were confirmed in subsequent evaluations. notably, in one patient, a large cranial plexiform neurofibroma exhibited a reduction in volume (28%) confirmed by magnetic resonance imaging. conversely, neither unenriched meddiet nor wesdiet enriched with curcumin exhibited any significant positive effect. we hypothesize that the combination of a polyphenolrich mediterranean diet and curcumin was responsible for the beneficial effect observed on nf1. this is, to the best of our knowledge, the first experience with curcumin supplementation in nf1 patients. our report suggests that an integrated nutritional approach may effectively aid in the management of nf1.",4858,curcumin,pNF
"neurofibromatosis type i (nf1) is an autosomal disorder that affects neural crestderived tissues, leading to a wide spectrum of clinical presentations. patients commonly present with plexiform neurofibromas, benign but debilitating growths that can transform into malignant peripheral nerve sheath tumors (mpnst), a main cause of mortality. currently, surgery is the primary course of treatment for mpnst, but with the limitation that these tumors are highly invasive. radiotherapy is another treatment option, but is undesirable because it can induce additional mutations. patients with mpnst may also receive doxorubicin as therapy, but this dnaintercalating agent has relatively low tumor specificity and limited efficacy. in this study, we exploited a robust genetically engineered mouse model of mpnst that recapitulates human nf1associated mpnst to identify a novel small chemical compound that inhibits tumor cell growth. compound 21 (cpd21) inhibits growth of all available in vitro models of mpnst and human mpnst cell lines, while remaining nontoxic to normally dividing schwann cells or mouse embryonic fibroblasts. we show that this compound delays the cell cycle and leads to cellular apoptosis. moreover, cpd21 can reduce mpnst burden in a mouse allograft model, underscoring the compound's potential as a novel chemotherapeutic agent. © 2013 american association for cancer research.",429,doxorubicin,pNF
"since the biallelic inactivation of both neurofibromin 1 (nf1) gene alleles (nf1/) in schwann cells (scs) is common in both benign plexiform neurofibromas (pns) and malignant peripheral nerve sheath tumors (mpnsts) in patients with neurofibromatosis type 1 (nf1), other genetic alterations in scs may be required for tumor progression of pns to mpnsts. we found that the antiapoptotic bclxl protein is upregulated in mpnst tissues compared to pn tissues from patients with nf1 by immunohistological staining. in addition, we investigated whether bclxl is upregulated in scs derived from mpnsts and found a significantly higher bclxl expression level in snf96.2 mpnstderived scs compared to normal human scs (hscs). we also discovered that the increased bclxl expression caused an increase in drug resistance to doxorubicin in mpnstderived scs. manipulation of nf1 gene expression levels by treatment with small interfering rna (sirna) and overexpression of the neurofibromin gaprelated domain (nf1grd) demonstrated that upregulated bclxl expression in mpnstderived scs was caused by nf1 deficiency. treatment with the erk1/2 inhibitor, pd98059, resulted in a slight increase in bclxl levels in neurofibromindepleted normal hscs, indicating that bclxl upregulation in mpnstderived scs is mediated by activated erk1/2, which is a ras downstream protein regulated by neurofibromin. as the reduction of bclxl expression restored sensitivity to doxorubicininduced apoptosis in snf96.2 cells, we examined the effect of the small molecule bclxl inhibitor abt737 on snf96.2 cells. a very low dose of abt737 combined with doxorubicin synergistically enhanced sensitivity to doxorubicininduced apoptosis in snf96.2 cells, suggesting that abt737 and doxorubicin may be a good combination to effectively treat nf1associated mpnsts with minimal sideeffects. collectively, our results suggest that upregulation of bclxl in mpnstderived scs may be caused by the nf1 deficiencymediated elevation in ras/mapk signaling and may provide a new potential chemotherapeutic target in patients with nf1 and mpnsts.",484,doxorubicin,pNF
"malignant peripheral nerve sheath tumors (mpnst) are rare, highly aggressive sarcomas that can occur spontaneously or from preexisting plexiform neurofibromas in neurofibromatosis type1 (nf1) patients. mpnsts have high local recurrence rates, metastasize easily, are generally resistant to therapeutic intervention and frequently fatal for the patient. novel targeted therapeutic strategies are urgently needed. standard treatment for patients presenting with advanced disease is doxorubicin based chemotherapy which inhibits the actions of the enzyme topoisomerase iiα (top2a). recent molecular studies using murine models and cell lines identified the bromodomain containing protein 4 (brd4) and enhancer of zeste homolog 2 (ezh2) as novel targets for mpnst treatment. we investigated the expression and potential use of brd4, ezh2 and top2a as therapeutic targets in human nf1derived mpnsts. the transcript levels of brd4, ezh2 and top2a were determined in paired formalinfixed paraffinembedded (ffpe) neurofibroma/mpnst samples derived from the same nf1 patient and in a set of plexiform neurofibromas, atypical neurofibromas and mpnst. we further examined the effect on cell viability of genetic or pharmacological inhibition of brd4, ezh2 and top2a in an mpnst cell line panel. our results indicated that in mpnst samples brd4 mrna levels were not upregulated and that mpnst cell lines were relatively insensitive to the bromodomain inhibitor jq1. we corroborated that ezh2 mrna expression is increased in mpnst but failed to confirm its reported pivotal role in mpnst pathogenesis as ezh2 knockdown by sirna did not interfere with cellular proliferation and viability. finally, the relation between top2a levels and sensitivity for doxorubicin was examined, confirming reports that top2a mrna levels were overexpressed in mpnst and showing that mpnst cell lines exhibited relatively high top2a protein levels and sensitivity to doxorubicin. we tentatively conclude that the potential for effective therapeutic intervention in mpnst by targeting brd4, ezh2 and top2a individually, may be limited. clinical studies are necessary to ultimately prove the relevance of brd4 and ezh2 inhibition as novel therapeutic strategies for mpnst.",2048,doxorubicin,pNF
"the neurofibroma, a common feature of neurofibromatosis type 1 (nf1), is a benign peripheral nerve sheath tumor that contains predominantly schwann cells (sc). there are reports that neurofibroma growth may be affected by hormonal changes, particularly in puberty and pregnancy, suggesting an influence by steroid hormones. this study examined the effects of estrogen and progesterone on proliferation and apoptosis in a panel of nf1 tumor xenografts. scenriched cultures derived from three human nf1 tumor types (dermal neurofibroma, plexiform neurofibroma and malignant peripheral nerve sheath tumor (mpnst)) were xenografted in sciatic nerves of ovariectomized scid/nf1/+ mice. at the same time, mice were implanted with timerelease pellets for systemic delivery of progesterone, estrogen or placebo. proliferation and apoptosis by the xenografted sc were examined two months after implantation, by ki67 immunolabeling and tunel. estrogen was found to increase the growth of all three mpnst xenografts. progesterone was associated with increased growth in two of the three mpnsts, yet decreased growth of the other. of the four dermal neurofibroma xenografts tested, estrogen caused a statistically significant growth increase in one and progesterone did in another. of the four plexiform neurofibroma sc xenografts, estrogen and progesterone significantly decreased growth in one of the xenografts, but not the other three. no relationship of patient age or gender to steroid response was observed. these findings indicate that human nf1 schwann cells derived from some tumors show increased proliferation or decreased apoptosis in response to particular steroid hormones in a mouse xenograft model. this suggests that antiestrogen or antiprogesterone therapies may be worth considering for specific nf1 neurofibromas and mpnsts. © 2010 landes bioscience.",337,progesterone,pNF
"background:both the number and size of tumours in nf1 patients increase in response to the rise in steroid hormones seen at puberty and during pregnancy. the size of tumours decreases after delivery, suggesting that hormonetargeting therapy might provide a viable new nf1 treatment approach. our earlier studies demonstrated that human nf1 tumour cell lines either went through apoptosis or ceased growth in the presence of 2methoxyoestradiol (2me2), a naturally occurring anticancer metabolite of 17β estradiol. previous reports of treatment with sulfamoylated steroidal and nonsteroidal derivatives of 2me2 showed promising reductions in tumour burden in hormoneresponsive cancers other than nf1. here we present the first studies indicating that 2me2 derivatives could also provide an avenue for treating nf1, for which few treatment options are available.methods:stx3451, (2(3bromo4,5dimethoxybenzyl)7methoxy6sulfamoyloxy1,2,3,4tetrahydroisoquinoline), a nonsteroidal sulphamate analogue of 2me2, was tested in dosedependent studies of malignant and benign nf1 human tumour cell lines and cell lines with variable controlled neurofibromin expression. the mechanisms of action of stx3451 were also analysed.results:we found that stx3451induced apoptosis in human malignant peripheral nerve sheath tumour (mpnst) cell lines, even in the presence of elevated oestrogen and progesterone. it inhibits both pi3 kinase and mtor signalling pathways. it disrupts actin and microtubulebased cytoskeletal structures in cell lines derived from human mpnsts and in cells derived from benign plexiform neurofibromas. stx3451 selectively kills mpnstderived cells, but also halts growth of other tumourderived nf1 cell lines.conclusion:stx3451 provides a new approach for inducing cell death and lowering tumour burden in nf1 and other hormoneresponsive cancers with limited treatment options.",1232,progesterone,pNF
"objective to assess the relationship between pubertal progression and change in plexiform neurofibroma (pn) burden over time in pediatric and young adult patients with neurofibromatosis type 1 and pns. study design analyses accounted for sex, age, race, and chemotherapy. fortyone patients with neurofibromatosis type 1 (15 female and 26 male patients) were studied at the national institutes of health. tanner stage, testosterone, progesterone, estradiol, insulinlike growth factor 1, luteinizing hormone, and folliclestimulating hormone were assessed. tumor volume was measured using magnetic resonance imaging and lesion detection software developed locally. patients were divided into 2 groups based on whether they were actively progressing through puberty (n = 16) or were peripubertal (n = 25) and were followed for an average of 20 months. tumor growth rates in the puberty and peripubertal group were analyzed for a subset of patients. results there was no statistically significant difference in tumor burden change over time (cm 2/kg per month) between the pubertal and peripubertal groups (0.16 ± 0.34 vs 0.03 ± 1.8, p =.31) and in the pn growth rates before and during puberty (p =.90). change in tumor volume/patient weight/time did not correlate with testosterone change/time in males or estradiol change/time in females. conclusion these findings support that hormonal changes of puberty do not accelerate pn growth. additional longterm followup of patients is necessary to further characterize the interaction between puberty and tumor growth. © 2014 mosby inc.",1361,progesterone,pNF
"opinion statement: neurofibromatosis type 1 (nf1) and type 2 (nf2) are genetically and medically distinct neurocutaneous disorders that are both associated with tumors affecting the central and peripheral nervous systems. nf1 has a frequency of 1 in 3,000, compared with 1 in 30,000 for nf2. careful surveillance is important for both conditions, to allow early identification and treatment of complications. the most common and important problems in nf1 are cognitive impairment, optic pathway gliomas, plexiform neurofibromas, and orthopaedic issues. early intervention and tailored educational programs are indicated for learning difficulties. attention deficit hyperactivity disorder may be amenable to treatment with stimulant medication. a clinical trial is under way to evaluate lovastatin in the treatment of cognitive problems in children with nf1. chemotherapy with vincristine and carboplatin is the current standard of care for symptomatic optic pathway gliomas, but new agents with improved efficacy are needed. plexiform neurofibromas may be treated with surgery, but often recur. to date, no medical therapy has proven effective in limiting plexiform neurofibroma growth, but several candidate medications are under consideration in clinical trials. malignant peripheral nerve sheath tumors may arise in preexisting plexiform neurofibromas, so changes in tumor growth or an increase in pain or focal neurologic deficit should prompt further investigation and early treatment with wide surgical resection, with or without adjuvant chemotherapy or radiotherapy. specialist surgical intervention may be needed for scoliosis and tibial pseudoarthrosis. in nf2, surgical treatment remains a cornerstone of management for symptomatic progressive vestibular schwannomas, meningiomas, and spinal tumors. vascular endothelial growth factor inhibitors show promise for the treatment of vestibular schwannomas, with the aim of delaying surgery, and other targeted molecular therapies are becoming available as investigational options. hearing aids and brainstem and cochlear implants have a role in optimizing functional hearing in some patients. specialist ophthalmology input should be arranged to monitor for ophthalmologic complications. a coordinated effort is needed to enroll nf1 and nf2 patients in international multicenter clinical trials of promising new pharmacologic agents. genetic testing is useful for prenatal diagnosis and may be important in understanding individual responses to novel medical therapies in the future. effective transition to adult services is important, considering the likelihood of further complications in the adult years. © 2011 springer science+business media, llc.",4591,lovastatin,pNF
"background: pediatric lowgrade gliomas (plgg) are the most frequent brain tumors in children. up to 50% will be refractory to conventional chemotherapy. it is now known that the majority of plgg have activation of the mapk/erk pathway. the same pathway is also activated in plexiform neurofibromas (pns) which are lowgrade tumors involving peripheral nerves in patients with neurofibromatosis type 1 (nf1). these lesions are known to be refractory to chemotherapy. specific mek inhibitors such as trametinib are now available and have been approved for other cancers harboring mutations in the mapk/erk pathway such as melanoma. we have observed significant responses to trametinib in patients with refractory plgg in our institutions and results from the phase i study are promising. the treatment appears not only efficacious but is also usually well tolerated. we hypothesize that we will observe responses in the majority of refractory plgg and pn treated with trametinib in this phase 2 study. methods: the primary objective is to determine the objective response rate of trametinib as a single agent for treatment of progressing/refractory tumors with mapk/erk pathway activation. the tram01 study is a phase ii multicentric openlabel basket trial including four groups. group 1 includes nf1 patients with progressing/refractory glioma. group 2 includes nf1 patients with plexiform neurofibroma. group 3 includes patients with progressing/refractory glioma with kiaa1549braf fusion. group 4 includes other patients with progressing/refractory glioma with activation of the mapk/erk pathway. eligible patients for a given study group will receive daily oral trametinib at full dose for a total of 18 cycles of 28 days. a total of 150 patients will be enrolled in seven canadian centers. secondary objectives include the assessment of progressionfree survival, overall survival, safety and tolerability of trametinib, serum levels of trametinib and evaluation of quality of life during treatment. discussion: trametinib will allow us to target directly and specifically the mapk/erk pathway. we expect to observe a significant response in most patients. following our study, trametinib could be integrated into standard treatment of plgg and pn.",867,trametinib,pNF
"plexiform neurofibromas are congenital peripheral nerve sheath tumors characteristic of neurofibromatosis type 1 (nf1)a frequent neurocutaneous disorder caused by mutations of the nf1 tumor suppressor gene. since plexiform neurofibromas are a major cause of the burden of disease and may also progress to malignancy, many efforts have been undertaken to find a cure for these tumors. however, neither surgery nor medication has so far produced a breakthrough therapeutic success. recently, a clinical phase i study reported significant shrinkage of plexiform neurofibromas following treatment with the mek inhibitor selumetinib. here, we report an 11yearold nf1 patient with a large plexiform neurofibroma of the neck that had led to a sharpangled kinking of the cervical spine and subsequent myelopathy. although surgical stabilization of the cervical vertebral column was urgently recommended, the vertebral column was inaccessible due to extensive tumor growth. in this situation, treatment with the mek inhibitor trametinib was initiated which resulted in a 22% reduction in tumor volume after 6 months of therapy and finally enabled surgery. these data show that mek inhibitors may not lead to complete disappearance of nf1associated plexiform neurofibromas but can be an essential step in a multimodal therapeutic approach for these tumors. the course of our patient suggests that mek inhibitors are likely to play a significant role in providing a cure for one of the most devastating manifestations of nf1.",2862,trametinib,pNF
"approximately 3050% of individuals with neurofibromatosis type 1 develop benign peripheral nerve sheath tumors, called plexiform neurofibromas (pnfs). pnfs can undergo malignant transformation to highly metastatic malignant peripheral nerve sheath tumors (mpnsts) in 510% of nf1 patients, with poor prognosis. no effective systemic therapy is currently available for unresectable tumors. in tumors, the nf1 gene deficiency leads to ras hyperactivation causing the subsequent activation of the akt/mtor and raf/mek/erk pathways and inducing multiple cellular responses including cell proliferation. in this study, three nf1null mpnstderived cell lines (908, 8814 and 962), sts26t sporadic mpnst cell line and pnfderived primary schwann cells were used to test responses to azd8055, an atpcompetitive ""activesite"" mtor inhibitor. in contrast to rapamycin treatment which only partially affected mtorc1 signaling, azd8055 induced a strong inhibition of mtorc1 and mtorc2 signaling in mpnstderived cell lines and pnfderived schwann cells. azd8055 induced full blockade of mtorc1 leading to an efficient decrease of global protein synthesis. a higher cytotoxic effect was observed with azd8055 compared to rapamycin in the nf1null mpnstderived cell lines with ic50 ranging from 70 to 140 nm and antiproliferative effect was confirmed in pnfderived schwann cells. cell migration was impaired by azd8055 treatment and cell cycle analysis showed a g0/g1 arrest. combined effects of azd8055 and pd0325901 mek inhibitor as well as brd4 (bromodomaincontaining protein 4) inhibitors showed a synergistic antiproliferative effect. these data suggest that nf1associated peripheral nerve sheath tumors are an ideal target for azd8055 as a single molecule or in combined therapies.",493,pd0325901,pNF
"malignant peripheral nerve sheath tumors (mpnsts) are soft tissue sarcomas that occur spontaneously, or from benign plexiform neurofibromas, in the context of the genetic disorder neurofibromatosis type 1 (nf1). the current standard treatment includes surgical resection, highdose chemotherapy, and/or radiation. to date, most targeted therapies have failed to demonstrate effectiveness against plexiform neurofibromas and mpnsts. recently, several studies suggested that the mtor and mapk pathways are involved in the formation and progression of mpnsts. everolimus (rad001) inhibits the mtor and is currently fda approved for several types of solid tumors. pd0325901 (pd901) inhibits mek, a component of the mapk pathway, and is currently in clinical trials. here, we show in vitro than mpnst cell lines are more sensitive to inhibition of cellular growth by everolimus and pd901 than immortalized human schwann cells. in combination, these drugs synergistically inhibit cell growth and induce apoptosis. in two genetically engineered mouse models of mpnst formation, modeling both sporadic and nf1associated mpnsts, everolimus, or pd901 treatment alone each transiently reduced tumor burden and size, and extended lifespan. however, prolonged treatment of each single agent resulted in the development of resistance and reactivation of target pathways. combination therapy using everolimus and pd901 had synergistic effects on reducing tumor burden and size, and increased lifespan. combination therapy allowed persistent and prolonged reduction in signaling through both pathways. these data suggest that cotargeting mtor and mek may be effective in patients with sporadic or nf1associated mpnsts.",1660,pd0325901,pNF
"neurofibromatosis type 1 (nf1) is an autosomal dominant disease caused by mutations in the nf1 tumor suppressor gene, which affect approximately 1 out of 3000 individuals. patients with nf1 suffer from a range of malignant and nonmalignant manifestations such as plexiform neurofibromas and skeletal abnormalities. we previously demonstrated that nf1 haploinsufficiency in mesenchymal stem/progenitor cells (mspcs) results in impaired osteoblastic differentiation, which may be associated with the skeletal manifestations in nf1 patients. here we sought to further ascertain the role of nf1 in modulating the migration and adhesion of mspcs of the nf1 haploinsufficient (nf1+/−) mice. nf1+/−mspcs demonstrated increased nuclearcytoplasmic ratio, increased migration, and increased actin polymerization as compared to wildtype (wt) mspcs. additionally, nf1+/−mspcs were noted to have significantly enhanced cell adhesion to fibronectin with selective affinity for ch271 with an overexpression of its complimentary receptor, cd49e. nf1+/−mspcs also showed hyperactivation of phosphoinositide 3kinase (pi3k) and mitogen activated protein kinase (mapk) signaling pathways when compared to wt mspcs, which were both significantly reduced in the presence of their pharmacologic inhibitors, ly294002 and pd0325901, respectively. collectively, our study suggests that both pi3k and mapk signaling pathways play a significant role in enhanced migration and adhesion of nf1 haploinsufficient mspcs.",4488,pd0325901,pNF
"neurofibromatosis type 1 (nf1) is one of the most common genetic tumor predisposition syndromes in humans. mutant nf1 results in dysregulated ras allowing neoplasms throughout the neuroaxis. plexiform neurofibromas (pnf) afflict up to 50% of patients with nf1. they are complex tumors of the peripheral nerve that cause major morbidity via nerve dysregulation and mortality via conversion to malignant sarcoma. genetically engineered mouse models (gemm) of nf1 provide valuable insights for the identification of therapies that have utility in people with pnf. preclinical studies in gemms implicate mast cells and the ckit/kit ligand pathway in pnf tumorigenesis. kit ligand is a potent chemokine secreted by tumorigenic, nf1deficient schwann cells. ketotifen is an fdaapproved drug for the treatment of allergic conjunctivitis and asthma that promotes mast cell stabilization and has been used in prior case studies to treat or prevent pnfs. this study investigated the effect of ketotifen on mast cell infiltration and degranulation in the presence and absence of kit ligand provocation and the effect of ketotifen on shrinking or preventing pnf formation in the nf1flox/flox;postncreþ gemm. ketotifen decreased mast cell infiltration in response to exogenous kit ligand administration, but did not affect mast cell degranulation. importantly, ketotifen did not reduce mast cells numbers or activity in pnf and did not prevent pnf formation or decrease the volume of established pnf despite administration of pharmacologically active doses. these findings suggest that ketotifen has limited use as monotherapy to prevent or reduce pnf burden in the setting of nf1 mutations.",269,ketotifen,pNF
"few therapeutic options are available for malignant peripheral nerve sheath tumors (mpnsts), the most common malignancy associated with neurofibromatosis type 1 (nf1). guided by clinical observations suggesting that some nf1associated nerve sheath tumors are hormonally responsive, we hypothesized that the selective estrogen receptor (er) modulator tamoxifen would inhibit mpnst tumorigenesis in vitro and in vivo. to test this hypothesis, we examined tamoxifen effects on mpnst cell proliferation and survival, mpnst xenograft growth, and the mechanism by which tamoxifen impeded these processes. we found that 15 μm 4hydroxytamoxifen induced mpnst cell death, whereas 0.010.1 μm 4hydroxytamoxifen inhibited mitogenesis. dermal and plexiform neurofibromas, mpnsts, and mpnst cell lines expressed erβ and gproteincoupled er1 (gper); mpnsts also expressed estrogen biosynthetic enzymes. however, mpnst cells did not secrete 17βestradiol, exogenous 17βestradiol did not stimulate mitogenesis or rescue 4hydroxytamoxifen effects on mpnst cells, and the steroidal antiestrogen ici182,780 did not mimic tamoxifen effects on mpnst cells. further, ablation of erb and gper had no effect on mpnst proliferation, survival, or tamoxifen sensitivity, indicating that tamoxifen acts via an erindependent mechanism. consistent with this hypothesis, inhibitors of calmodulin (trifluoperazine, w7), another known tamoxifen target, recapitulated 4hydroxytamoxifen effects on mpnst cells. tamoxifen was also effective in vivo, demonstrating potent antitumor activity in mice orthotopically xenografted with human mpnst cells. we conclude that 4hydroxytamoxifen inhibits mpnst cell proliferation and survival via an erindependent mechanism. the in vivo effectiveness of tamoxifen provides a rationale for clinical trials in cases of mpnsts. © the author(s) 2010.",3454,trifluoperazine,pNF
"neurofibromatosis type 1 (nf1) is one of the most common neurocutaneous disorders. some nf1 patients develop benign large plexiform neurofibroma(s) at birth, which can then transform into a malignant peripheral nerve sheath tumor (mpnst). there is no curative treatment for this rapidly progressive and easily metastatic neurofibrosarcoma. photodynamic therapy (pdt) has been developed as an anticancer treatment, and 5aminolevulinic (ala) mediated pdt (alapdt) has been used to treat cutaneous skin and oral neoplasms. doxycycline, a tetracycline derivative, can substantially reduce the tumor burden in human and animal models, in addition to its antimicrobial effects. the purpose of this study was to evaluate the effect and to investigate the mechanism of action of combined doxycycline and alapdt treatment of mpnst cells. an 3(4,5dimethylthiazol2yl)2,5diphenyltetrazolium bromide (mtt) assay showed that the combination of alapdt and doxycycline significantly reduce mpnst survival rate, compared to cells treated with each therapy alone. isobologram analysis showed that the combined treatment had a synergistic effect. the increased cytotoxic activity could be seen by an increase in cellular protoporphyrin ix (ppix) accumulation. furthermore, we found that the higher retention of ppix was mainly due to increasing ala uptake, rather than activity changes of the enzymes porphobilinogen deaminase and ferrochelatase. the combined treatment inhibited tumor growth in different tumor cell lines, but not in normal human schwann cells or fibroblasts. similarly, a synergistic interaction was also found in cells treated with alapdt combined with minocycline, but not tetracycline. in summary, doxycycline can potentiate the effect of alapdt to kill tumor cells. this increased potency allows for a dose reduction of doxycycline and photodynamic radiation, reducing the occurrence of toxic side effects in vivo.",4724,doxycycline,pNF
